KOD,MESTO,POCET HLASU,POCET OBALEK,PLATNE HLASY,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
565423,Bdín,51,34,34,1,0,0,7,0,1,1,1,0,0,0,0,3,0,0,1,15,0,0,0,0,0,0,0,4,0
541672,Branov,170,120,119,10,1,0,14,0,0,23,0,1,1,0,0,13,0,0,2,40,0,0,5,0,1,0,0,7,1
565041,Břežany,106,71,69,6,0,0,4,1,4,12,0,1,1,0,0,9,0,0,2,20,0,0,0,0,0,2,0,6,1
541699,Čistá,724,388,387,42,0,0,33,0,26,67,5,7,3,0,0,30,0,0,9,114,0,0,18,0,0,1,0,29,3
565181,Děkov,160,63,63,7,2,0,7,0,5,14,2,0,0,0,1,3,0,0,3,10,0,0,2,0,0,1,0,6,0
529711,Drahouš,64,41,41,2,0,0,1,0,8,7,0,0,0,1,0,2,0,0,0,17,0,0,1,0,0,0,0,2,0
541729,Hořesedly,331,183,183,10,0,0,14,0,9,40,4,1,5,0,0,7,0,0,2,63,0,1,2,0,0,0,0,22,3
541737,Hořovičky,385,170,168,9,2,0,20,0,2,20,0,3,0,0,1,7,0,3,3,77,0,1,1,0,1,2,0,16,0
565202,Hracholusky,66,49,49,5,0,0,2,0,4,5,2,0,0,0,0,11,0,0,2,12,0,0,1,0,0,0,0,5,0
541761,Hřebečníky,220,153,152,18,0,0,6,1,12,30,2,1,2,0,0,6,0,1,6,55,0,0,1,1,1,0,0,9,0
541770,Hředle,464,276,275,25,0,0,26,0,17,45,4,1,1,0,0,19,0,0,5,98,0,1,3,0,2,2,1,25,0
565334,Hvozd,133,77,75,1,0,0,5,0,4,21,0,0,1,0,0,5,0,0,5,26,0,0,1,0,1,1,0,4,0
541818,Chrášťany,532,306,304,22,0,0,25,0,18,31,1,1,3,0,0,25,2,2,12,118,0,1,3,0,0,0,2,38,0
565270,Janov,109,87,87,14,0,0,2,0,9,9,0,0,0,0,0,8,0,0,0,24,0,0,1,0,1,0,0,18,1
541834,Jesenice,1321,723,722,60,1,2,70,1,44,87,11,4,3,2,0,49,1,0,36,232,0,2,11,0,3,1,0,98,4
565440,Kalivody,81,53,53,8,0,0,6,0,7,4,0,0,0,0,0,2,0,0,2,19,0,0,1,0,0,0,0,4,0
